Date,Open,High,Low,Close,Adj Close,Volume
2020-02-26,39230.000000,39230.000000,38450.000000,38960.000000,36833.558594,1119500
2020-02-27,38580.000000,38840.000000,38000.000000,38190.000000,36105.585938,1111300
2020-02-28,36800.000000,37250.000000,36080.000000,36270.000000,34290.378906,2299600
2020-03-02,36100.000000,37890.000000,35900.000000,37090.000000,35065.621094,2147900
2020-03-03,37850.000000,37990.000000,36680.000000,36800.000000,34791.453125,1860600
2020-03-04,36430.000000,37600.000000,36430.000000,37250.000000,35216.890625,1088000
2020-03-05,37900.000000,38170.000000,37410.000000,37920.000000,35850.316406,1232400
2020-03-06,37700.000000,38090.000000,37070.000000,37410.000000,35368.156250,1273600
2020-03-09,36480.000000,36740.000000,35630.000000,35930.000000,33968.933594,2032600
2020-03-10,35000.000000,36520.000000,33980.000000,36190.000000,34214.742188,2255000
2020-03-11,36060.000000,36860.000000,35410.000000,35470.000000,33534.039063,1506400
2020-03-12,35000.000000,35360.000000,33950.000000,34820.000000,32919.523438,2118300
2020-03-13,33080.000000,34500.000000,31880.000000,33220.000000,31406.847656,3190900
2020-03-16,33900.000000,34860.000000,32930.000000,32950.000000,31151.583984,2157800
2020-03-17,32500.000000,35360.000000,32200.000000,34880.000000,32976.246094,3190700
2020-03-18,35360.000000,36320.000000,35250.000000,35510.000000,33571.859375,1854200
2020-03-19,35510.000000,37500.000000,35510.000000,37230.000000,35197.980469,2465200
2020-03-23,37400.000000,38430.000000,37110.000000,37810.000000,35746.324219,1910900
2020-03-24,38810.000000,38890.000000,38160.000000,38610.000000,36502.660156,1513700
2020-03-25,39500.000000,39640.000000,38970.000000,39640.000000,37476.441406,1510900
2020-03-26,39230.000000,39980.000000,38850.000000,39730.000000,37561.535156,1408000
2020-03-27,40000.000000,40400.000000,39430.000000,40400.000000,38194.960938,1620000
2020-03-30,39470.000000,40990.000000,39160.000000,40930.000000,39497.722656,1480200
2020-03-31,41560.000000,42490.000000,41150.000000,41610.000000,40153.925781,1926000
2020-04-01,41800.000000,42690.000000,41510.000000,41950.000000,40482.027344,1917600
